,Все
172,0.42212125750845564
173,0.3695565404573431
174,0.3235373918675347
175,0.2832487457407097
176,0.2479770262225354
177,0.21709751106455855
178,0.19006326827902464
179,0.16639547017370449
180,0.14567491331638627
181,0.12753459431246256
182,0.11165320996001091
183,0.09774946670438092
184,0.08557709863720342
185,0.07492050582577564
186,0.06559093573944016
187,0.05742314015386506
188,0.05027244833196266
189,0.04401220465036334
190,0.0385315252932126
191,0.03373333428470862
192,0.02953264407818228
193,0.0258550502501551
194,0.022635413639322397
195,0.01981670658989745
196,0.017349002864968422
197,0.015188593339905984
198,0.013297211813455936
199,0.01164135722439467
200,0.010191700269043293
201,0.008922563909760012
202,0.007811468573227622
203,0.006838733983096973
204,0.005987130574626935
205,0.005241574317139298
206,0.004588859538935124
207,0.0040174250224125005
208,0.0035171492264050204
209,0.003079171008661596
210,0.0026957326730484257
211,0.0023600425614721155
212,0.0020661547567024695
213,0.001808863765345418
214,0.0015836123155487792
215,0.001386410636315537
216,0.001213765788665165
217,0.0010626197969253448
218,0.0009302954843075533
219,0.0008144490533812694
220,0.0007130285715299003
221,0.0006242376260630517
222,0.0005465035052269599
223,0.0004784493415196081
224,0.00041886972389921064
225,0.0003667093469173763
226,0.0003210443185997172
227,0.00028106579598966767
228,0.00024606565849997857
229,0.0002154239653109968
230,0.00018859797465475885
231,0.00016511253048882773
232,0.00014455164628369063
233,0.0001265511368514201
234,0.00011079216770673476
235,9.699560770340023e-05
236,8.491708491693256e-05
237,7.434265820082765e-05
238,6.508502774866538e-05
239,5.6980217541588564e-05
240,4.988467091893405e-05
241,4.36727078272452e-05
242,3.823429870913047e-05
243,3.347311560192208e-05
244,2.930482592617384e-05
245,2.565559874268559e-05
246,2.2460797020095703e-05
247,1.9663832749799186e-05
248,1.7215164629386218e-05
249,1.5071420561043976e-05
250,1.3194629422152776e-05
251,1.1551548500793865e-05
252,1.0113074683353338e-05
253,8.85372896486761e-06
254,7.751205151486855e-06
255,6.785974761437239e-06
256,5.940941126280165e-06
257,1.5572697087921682e-06
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
