,Все
537,1.0553150776898053
538,1.054033301285839
539,1.052744260496822
540,1.0514481206535709
541,1.050145051480984
542,1.0488352270333485
543,1.0475188256242653
544,1.0461960297512083
545,1.044867026014742
546,1.04353200503244
547,1.0421911613475492
548,1.0408446933324627
549,1.0394928030870654
550,1.0381356963320445
551,1.0367735822972537
552,1.0354066736052272
553,1.034035186149977
554,1.032659338971181
555,1.0312793541239156
556,1.0298954565440614
557,1.0285078739095639
558,1.0271168364976953
559,1.0257225770385046
560,1.0243253305646496
561,1.022925334257792
562,1.021522827291774
563,1.02011805067278
564,1.0187112470767112
565,1.0173026606839954
566,1.0158925370120697
567,1.0144811227457748
568,1.0130686655659085
569,1.0116554139761889
570,1.0102416171288822
571,1.0088275246493512
572,1.0074133864597974
573,1.0059994526024427
574,1.0045859730624356
575,1.0031731975907325
576,1.0017613755272357
577,1.0003507556244433
578,0.998941585871879
579,0.9975341133215758
580,0.9961285839148559
581,0.9947252423106825
582,0.9933243317158306
583,0.991926093717122
584,0.9905307681159794
585,0.9891385927655271
586,0.9877498034104872
587,0.9863646335300725
588,0.9849833141841235
589,0.9836060738626775
590,0.9822331383391784
591,0.9808647305275301
592,0.9795010703431646
593,0.9781423745683028
594,0.9767888567215778
595,0.97544072693217
596,0.9740981918185965
597,0.9727614543722933
598,0.9714307138461035
599,0.9701061656477944
600,0.9687880012386858
601,0.9674764080374963
602,0.9661715693294671
603,0.9648736641808416
604,0.9635828673587467
605,0.9622993492565135
606,0.9610232758244903
607,0.9597548085063334
608,0.958494104180818
609,0.9572413151091431
610,0.9559965888877321
611,0.9547600684064987
612,0.9535318918125473
613,0.9523121924792682
614,0.9511010989807679
615,0.9498987350715827
616,0.948705219671595
617,0.9475206668560867
618,0.94634518585083
619,0.9451788810321295
620,0.9440218519317163
621,0.9428741932463794
622,0.9417359948522244
623,0.94060734182344
624,0.9394883144554477
625,0.9383789882923005
626,0.9372794341582003
627,0.9361897181929939
628,0.9351099018915028
629,0.9340400421465449
630,0.9329801912955028
631,0.9319303971702745
632,0.9308907031504745
633,0.9298611482197131
634,0.9288417670248101
635,0.9278325899377856
636,0.926833643120467
637,0.9258449485915652
638,0.9248665242960534
639,0.923898384176708
640,0.9229405382476445
641,0.9219929926697075
642,0.9210557498275552
643,0.9201288084082992
644,0.9192121634815432
645,0.918305806580689
646,0.9174097257853555
647,0.916523905804786
648,0.9156483280620958
649,0.9147829707792374
650,0.9139278090625547
651,0.9130828149887922
652,0.9122479576914511
653,0.9114232034473612
654,0.9106085157633694
655,0.9098038554630222
656,0.909009180773143
657,0.9082244474102051
658,0.907449608666397
659,0.9066846154952872
660,0.9059294165970088
661,0.9051839585028667
662,0.904448185659291
663,0.903722040511065
664,0.903005463583749
665,0.9022983935652342
666,0.9016007673863605
667,0.9009125203005425
668,0.9002335859623407
669,0.8995638965049292
670,0.8989033826164138
671,0.8982519736149471
672,0.897609597522609
673,0.896976181138007
674,0.8963516501075651
675,0.8957359289954719
676,0.8951289413522562
677,0.89453060978197
678,0.8939408560079508
679,0.8933596009371522
680,0.8927867647230229
681,0.892222266826919
682,0.8916660260780457
683,0.891117960731914
684,0.8905779885273103
685,0.8900460267417742
686,0.8895219922455878
687,0.889005801554271
688,0.8884973708795895
