,Все
623,353454.953431611
624,355297.07959142304
625,357123.6849566618
626,358934.64215256996
627,360729.8314624097
628,362509.14077467215
629,364272.4655239652
630,366019.7086258077
631,367750.7804055652
632,369465.59852176456
633,371164.0878840297
634,372846.1805658834
635,374511.8157126606
636,376160.93944478297
637,377793.5047566424
638,379409.4714113437
639,381008.80583155557
640,382591.4809867174
641,384157.4762768499
642,385706.7774132141
643,387239.3762960612
644,388755.2708897142
645,390254.46509521693
646,391736.96862078476
647,393202.7968502854
648,394651.9707099747
649,396084.51653370843
650,397500.46592684387
651,398899.8556290426
652,400282.727376178
653,401649.12776154705
654,402999.10809657833
655,404332.7242712245
656,405650.03661421855
657,406951.1097533689
658,408236.01247606106
659,409504.8175901272
660,410757.6017852381
661,411994.44549496623
662,413215.432759661
663,414420.65109027084
664,415610.1913332408
665,416784.147536607
666,417942.61681740306
667,419085.6992304866
668,420213.4976388882
669,421326.1175857789
670,422423.6671681446
671,423506.25691225176
672,424573.999650981
673,425627.0104030997
674,426665.4062545402
675,427689.3062417419
676,428698.8312371132
677,429694.1038366609
678,430675.2482498321
679,431642.3901916063
680,432595.6567768729
681,433535.1764171214
682,434461.07871947123
683,435373.4943880599
684,436272.5551278057
685,437158.3935505581
686,438031.1430836427
687,438890.93788080645
688,439737.9127355631
689,440572.20299693756
690,441393.94448760274
691,442203.2734244011
692,443000.3263412393
693,443785.24001434154
694,444558.1513898453
695,445319.19751372095
696,446068.51546399295
697,446806.2422852404
698,447532.514925351
699,448247.470174502
700,448951.2446063386
701,449643.9745213206
702,450325.79589220474
703,450996.84431163035
704,451657.25494177407
705,452307.1624660385
706,452946.70104273834
707,453576.004260748
708,454195.2050970719
709,454804.4358763
710,455403.8282319092
711,455993.5130693717
712,456573.62053103035
713,457144.27996270097
714,457705.6198819619
715,458257.76794808987
716,458800.85093360214
717,459334.9946973646
718,459860.32415922463
719,460376.96327613015
720,460885.03501969244
721,461384.6613551551
722,461875.9632217281
723,462359.0605142478
724,462834.0720661247
725,463301.11563353933
726,463760.3078808487
727,464211.7643671654
728,464655.59953407216
729,465091.926694435
730,465520.858022279
731,465942.5045436904
732,466356.976128711
733,466764.38148418925
734,467164.82814755477
735,467558.4224814829
736,467945.26966941665
737,468325.4737119139
738,468699.1374237886
739,469066.3624320154
740,469427.24917436746
741,469781.8968987582
742,470130.4036632583
743,470472.8663367601
744,470809.38060026144
745,471140.0409487432
746,471464.94069361355
747,471784.17196569475
748,472097.82571872644
749,472405.99173336255
750,472708.75862163794
751,473006.21383188217
752,473298.4436540584
753,473585.53322550596
754,473867.5665370658
755,474144.62643956824
756,474416.7946506646
757,474684.1517619822
758,474946.77724658547
759,475204.7494667253
760,475458.1456818585
761,475707.0420569223
762,475951.51367084566
763,476191.6345252843
764,476427.47755356226
765,476659.1146298068
766,476886.61657826195
767,477110.05318276794
768,477329.4931963925
769,477545.0043512024
770,477756.65336816275
771,477964.5059671523
772,478168.62687708397
773,478369.07984611957
774,478565.92765196844
